# z_phot   ref_z_phot  
  1.18     1           
  1.03     2           
  2.19     1           
  0.47     1           
  -99.0    -99         
  1.4      1           
  3.01     1           
  1.49     1           
  0.5      1           
  2.35     2           
  1.82     2           
  2.1      1           
  1.39     2           
  2.15     1           
  0.95     1           
  0.44     1           
  1.05     2           
  0.41     1           
  3.2      1           
  1.42     1           
  0.97     1           
  0.28     1           
  0.37     1           
  0.83     1           
  1.01     1           
  -99.0    -99         
  1.46     1           
  1.02     1           
  1.55     2           
  0.92     2           
  0.89     1           
  1.59     1           
  1.34     1           
  2.04     1           
  1.2      1           
  0.9      1           
  1.55     1           
  0.29     1           
  0.52     1           
  0.99     1           
  1.13     1           
  1.01     1           
  1.53     1           
  1.29     1           
  1.16     1           
  0.51     1           
  0.94     2           
  2.55     1           
  4.45     1           
  3.32     1           
  1.01     1           
  1.73     1           
  3.24     1           
  1.56     2           
  1.77     1           
  0.52     1           
  0.46     1           
  -99.0    -99         
  1.21     1           
  1.32     1           
  0.43     1           
  0.1      2           
  -99.0    -99         
  0.48     1           
  0.28     1           
  1.07     1           
  1.66     1           
  1.06     1           
  2.64     2           
  1.23     2           
  1.84     1           
  0.92     2           
  0.89     2           
  0.5      1           
  -99.0    -99         
  2.97     1           
  1.6      1           
  0.37     1           
  1.05     1           
  2.24     2           
  -99.0    -99         
  0.97     1           
  1.3      1           
  0.48     1           
  0.75     1           
  0.42     1           
  0.64     1           
  0.87     1           
  0.08     1           
  1.22     2           
  0.83     1           
  0.87     1           
  1.61     1           
  1.01     1           
  1.0      1           
  0.76     2           
  1.75     1           
  0.55     1           
  1.18     1           
  0.86     1           
  1.02     2           
  1.52     2           
  2.98     1           
  2.08     1           
  0.64     2           
  2.7      1           
  3.0      1           
  0.9      2           
  0.89     2           
  1.98     1           
  0.83     1           
  1.17     1           
  -99.0    -99         
  0.67     1           
  1.0      1           
  1.47     1           
  0.89     1           
  0.43     1           
  0.37     1           
  0.45     2           
  0.85     1           
  1.0      2           
  3.18     2           
  1.19     1           
  1.48     1           
  1.25     2           
  2.62     1           
  0.8      1           
  1.94     1           
  2.09     1           
  0.9      2           
  0.48     2           
  1.31     2           
  2.2      1           
  0.97     1           
  0.86     1           
  2.29     1           
  1.97     1           
  1.97     2           
  0.51     1           
  1.16     1           
  1.55     1           
  2.57     2           
  1.42     2           
  0.77     1           
  2.15     2           
  0.5      1           
  1.44     1           
  0.87     1           
  1.72     1           
  2.69     1           
  1.17     1           
  0.9      2           
  1.29     2           
  1.0      1           
  1.09     2           
  0.31     1           
  3.18     1           
  2.04     1           
  0.08     1           
  -99.0    -99         
  2.44     1           
  -99.0    -99         
  1.87     1           
  1.62     1           
  1.39     1           
  0.87     1           
  1.25     1           
  0.31     1           
  0.95     1           
  2.54     1           
  0.88     2           
  1.0      1           
  0.45     1           
  1.77     2           
  2.48     1           
  0.21     1           
  0.46     1           
  0.91     1           
  2.95     1           
  1.98     2           
  0.47     1           
  0.78     1           
  0.55     1           
  1.21     2           
  1.32     1           
  2.52     1           
  0.98     1           
  0.99     2           
  1.18     1           
  1.7      1           
  2.19     1           
  0.79     1           
  0.86     2           
  1.19     1           
  2.7      1           
  1.49     1           
  2.15     1           
  0.83     1           
  1.86     1           
  2.17     1           
  0.95     1           
  3.21     1           
  1.47     1           
  1.01     1           
  0.91     2           
  4.24     2           
  1.91     1           
  1.87     1           
  2.27     1           
  2.28     1           
  0.58     1           
  0.91     1           
  0.49     1           
  0.43     1           
  1.55     1           
  0.95     1           
  0.97     2           
  0.83     1           
  2.5      1           
  2.16     2           
  0.93     1           
  1.31     2           
  2.45     1           
  3.09     1           
  2.16     1           
  0.9      1           
  1.82     1           
  0.96     1           
  1.23     1           
  0.54     1           
  0.41     1           
  1.94     1           
  2.81     1           
  1.04     2           
  1.31     2           
  2.67     1           
  1.27     1           
  2.87     1           
  0.66     1           
  1.72     1           
  2.72     1           
  0.93     2           
  0.87     2           
  0.9      1           
  2.16     1           
  1.23     1           
  1.78     2           
  1.33     1           
  0.44     1           
  1.62     1           
  0.49     2           
  0.98     1           
  1.38     2           
  1.49     2           
  1.6      2           
  1.15     1           
  1.17     1           
  5.04     1           
  1.23     1           
  0.45     1           
  1.17     2           
  1.31     1           
  1.6      1           
  0.66     1           
  2.57     1           
  1.46     1           
  1.25     2           
  0.46     2           
  2.28     2           
  0.46     1           
  1.04     1           
  0.83     2           
  3.03     1           
  1.11     2           
  1.17     1           
  1.67     1           
  1.55     1           
  2.28     1           
  2.28     1           
  0.67     1           
  1.16     1           
  0.48     1           
  1.73     1           
  0.89     2           
  0.91     2           
  0.95     1           
  0.84     1           
  1.61     2           
  -99.0    -99         
  2.98     1           
  -99.0    -99         
  3.04     1           
  0.66     1           
  2.86     1           
  0.49     1           
  0.6      1           
  0.5      1           
  0.4      1           
  1.16     1           
  1.13     1           
  0.31     1           
  0.86     1           
  1.47     1           
  0.28     1           
  0.89     2           
  1.76     2           
  5.16     2           
  2.41     1           
  1.61     1           
  3.84     1           
  -99.0    -99         
  0.89     1           
  0.82     1           
  0.5      1           
  2.69     1           
  -99.0    -99         
  0.12     1           
  0.88     1           
  1.68     1           
  3.14     2           
  0.93     1           
  1.59     1           
  0.54     2           
  1.01     1           
  1.51     1           
  1.7      1           
  0.86     1           
  0.62     1           
  1.0      1           
  1.23     2           
  2.54     1           
  0.81     1           
  -99.0    -99         
  0.9      2           
  3.03     2           
  2.81     1           
  3.28     1           
  0.56     1           
  1.69     1           
  1.65     1           
  2.38     1           
  3.02     1           
  0.93     1           
  0.81     1           
  2.28     2           
  0.99     1           
  0.46     1           
  -99.0    -99         
  2.26     1           
  1.21     1           
  1.77     1           
  0.39     1           
  1.22     1           
  0.41     1           
  1.19     1           
  1.14     1           
  0.44     1           
  0.52     1           
  1.7      1           
  2.02     1           
  0.63     1           
  1.63     1           
  3.55     1           
  0.3      1           
  1.4      1           
  2.39     1           
  1.08     2           
  0.99     1           
  0.6      1           
  0.47     1           
  0.88     1           
  0.62     1           
  0.31     1           
  1.06     1           
  0.43     1           
  0.47     1           
  1.4      1           
  4.0      1           
  0.5      1           
  0.98     1           
  1.61     2           
  2.6      1           
  3.54     1           
  0.01     1           
  1.66     1           
  2.34     2           
  0.91     1           
  2.21     1           
  0.94     1           
  0.51     1           
  1.45     1           
  1.16     1           
  0.04     1           
  1.33     2           
  1.61     2           
  2.03     1           
  1.2      1           
  0.94     1           
  0.42     1           
  0.09     2           
  2.03     1           
  2.94     1           
  1.12     2           
  2.44     1           
  0.4      1           
  1.73     1           
  0.84     1           
  1.02     1           
  3.21     2           
  1.07     2           
  1.64     1           
  1.18     1           
  1.25     1           
  0.96     2           
  0.44     1           
  2.23     1           
  1.49     2           
  0.66     1           
  2.55     1           
  1.06     1           
  2.46     1           
  3.47     1           
  0.75     2           
  0.19     1           
  3.13     1           
  2.19     2           
  2.43     1           
  0.41     1           
  1.03     1           
  2.34     1           
  0.84     2           
  0.67     1           
  0.94     1           
  3.23     1           
  0.31     1           
  2.32     1           
  2.92     1           
  1.66     2           
  1.44     1           
  2.28     1           
  0.19     2           
  1.17     2           
  0.46     2           
  2.22     1           
  0.98     1           
  3.39     1           
  0.92     1           
  1.72     1           
  2.64     1           
  0.8      1           
  0.89     2           
  1.0      1           
  -99.0    -99         
  0.94     1           
  0.82     1           
  0.93     1           
  2.71     2           
  0.4      1           
  1.2      1           
  0.83     1           
  0.94     1           
  0.93     2           
  0.5      1           
  1.76     1           
  0.97     1           
  1.57     1           
  2.35     1           
  0.8      1           
  0.32     1           
  1.48     2           
  0.85     1           
  1.11     1           
  0.79     2           
  1.4      2           
  1.04     1           
  0.48     1           
  0.54     1           
  1.02     1           
  3.14     2           
  2.93     1           
  2.34     1           
  0.37     1           
  0.05     1           
  0.9      1           
  0.94     1           
  1.6      1           
  1.83     1           
  0.69     1           
  0.67     2           
  2.72     1           
  2.17     1           
  0.7      1           
  0.4      1           
  -99.0    -99         
  0.92     1           
  3.11     1           
  2.19     1           
  2.73     2           
  0.07     1           
  0.93     1           
  1.8      1           
  0.83     1           
  2.34     1           
  2.29     1           
  1.33     1           
  1.51     1           
  0.36     1           
  0.28     2           
  0.42     1           
  1.27     1           
  0.72     1           
  0.07     1           
  0.36     1           
  0.39     2           
  1.24     1           
  0.57     1           
  0.39     1           
  1.98     1           
  2.3      1           
  0.39     1           
  3.03     1           
  0.64     2           
  0.81     1           
  0.53     1           
  1.97     1           
  0.23     1           
  1.23     1           
  1.17     2           
  0.8      1           
  0.79     1           
  0.92     1           
  5.03     1           
  0.07     1           
  1.18     1           
  3.39     1           
  1.55     1           
  2.18     1           
  0.62     1           
  1.7      1           
  0.96     1           
  3.22     1           
  0.25     1           
  5.01     1           
  0.69     1           
  1.67     1           
  0.42     1           
  0.43     1           
  1.66     1           
  0.77     1           
  4.3      1           
  1.02     1           
  2.69     2           
  0.45     1           
  1.0      1           
  0.93     1           
  1.12     2           
  2.3      1           
  1.48     1           
  0.87     1           
  0.6      1           
  2.0      2           
  0.01     2           
  1.8      2           
  1.61     1           
  2.01     1           
  1.39     1           
  1.47     1           
  1.12     1           
  0.83     1           
  1.66     1           
  2.17     1           
  1.42     2           
  1.85     1           
  1.46     1           
  0.92     1           
  0.99     1           
  1.93     2           
  1.51     1           
  0.97     1           
  2.11     1           
  0.3      1           
  1.1      1           
  2.0      1           
  2.23     2           
  0.13     1           
  0.08     1           
  0.55     1           
  2.22     1           
  5.4      1           
  2.42     1           
  1.99     1           
  2.3      1           
  1.63     1           
  0.46     1           
  1.0      2           
  -99.0    -99         
  2.4      1           
  1.37     1           
  1.74     1           
  0.8      1           
  1.56     1           
  0.96     1           
  0.79     1           
  1.11     1           
  0.97     1           
  2.84     1           
  0.01     2           
  0.5      1           
  0.12     2           
  1.15     1           
  0.93     1           
  0.3      1           
  0.3      1           
  1.0      1           
  2.45     1           
  1.54     1           
  0.48     1           
  1.69     1           
  2.01     1           
  0.72     1           
  1.17     1           
  2.22     1           
  3.46     1           
  0.18     1           
  1.24     1           
  1.76     1           
  1.24     1           
  0.84     1           
  1.62     1           
  1.78     1           
  1.02     1           
  0.56     1           
  0.49     1           
  1.19     1           
  -99.0    -99         
  1.03     1           
  0.11     1           
  1.31     1           
  0.98     1           
  1.79     1           
  0.97     1           
  2.3      1           
  1.16     1           
  0.08     1           
  2.38     1           
  2.45     1           
  0.89     1           
  1.41     1           
  0.83     1           
  2.08     2           
  1.74     1           
  3.39     1           
  4.7      1           
  1.98     1           
  1.2      2           
  0.13     1           
  1.1      1           
  0.95     1           
  0.57     1           
  1.46     1           
  1.2      1           
  2.8      2           
  0.95     2           
  0.76     1           
  1.56     1           
  1.16     1           
  0.81     1           
  0.78     1           
  1.68     1           
  2.38     1           
  0.95     1           
  0.93     2           
  1.79     1           
  1.57     1           
  1.46     1           
  1.66     1           
  1.23     1           
  0.93     1           
  0.3      1           
  0.87     1           
  1.16     2           
  0.84     1           
  0.99     1           
  1.57     1           
  0.48     1           
  5.48     1           
  1.17     1           
  2.02     1           
  0.12     1           
  1.5      2           
  2.13     1           
  0.53     1           
  1.95     1           
  1.64     1           
  0.78     1           
  1.92     1           
  1.96     1           
  1.08     1           
  1.18     1           
  0.81     1           
  1.05     1           
  2.38     1           
  1.14     1           
  1.15     1           
  2.67     2           
  1.16     1           
  1.81     1           
  1.91     1           
  0.92     1           
  1.34     1           
  1.59     1           
  0.96     1           
  2.13     2           
  1.05     1           
  0.05     2           
  0.55     1           
  3.13     1           
  1.44     2           
  3.05     1           
  1.41     1           
  3.67     1           
  0.86     1           
  0.55     1           
  1.02     1           
  0.87     1           
  1.6      1           
  0.88     1           
  2.56     1           
  0.49     1           
  1.19     1           
  2.8      1           
  0.82     1           
  2.14     1           
  2.49     1           
  2.23     1           
  2.98     1           
  0.46     1           
  2.23     1           
  1.46     2           
  0.93     1           
  1.59     1           
  3.12     1           
  1.17     1           
  0.74     1           
  3.24     1           
  0.56     1           
  1.01     1           
  2.19     1           
  1.73     1           
  1.46     1           
  0.55     1           
  3.03     1           
  0.75     1           
  1.01     2           
  0.26     1           
  2.25     1           
  0.59     1           
  1.07     1           
  1.18     2           
  1.21     2           
  1.72     2           
  2.25     1           
  0.91     1           
  2.3      1           
  3.06     1           
  0.29     1           
  0.99     1           
  0.51     1           
  1.71     1           
  2.5      1           
  2.17     1           
  2.11     1           
  1.18     2           
  0.72     1           
  1.58     1           
  0.56     1           
  0.51     1           
  1.87     1           
  0.91     1           
  0.95     2           
  0.62     1           
  0.93     1           
  0.66     1           
  1.59     1           
  2.05     1           
  1.2      2           
  0.78     1           
  1.74     1           
  0.28     1           
  0.93     1           
  2.16     1           
  0.66     1           
  1.28     1           
  0.45     1           
  1.67     1           
  0.95     2           
  1.87     2           
  0.3      1           
  0.68     1           
  1.45     1           
  0.6      1           
  0.92     1           
  1.15     1           
  0.28     1           
  1.97     1           
  1.06     2           
  2.25     1           
  0.39     1           
  1.19     1           
  1.79     2           
  1.61     1           
  0.85     1           
  1.53     1           
  1.46     2           
  0.97     1           
  0.77     1           
  0.84     1           
  1.53     1           
  0.92     1           
  1.9      2           
  1.87     1           
  0.92     1           
  0.88     1           
  1.23     1           
  1.33     1           
  2.14     1           
  0.4      1           
  0.84     1           
  0.72     1           
  1.07     1           
  0.97     1           
  0.87     2           
  1.79     1           
  0.92     1           
  2.36     1           
  0.86     1           
  0.87     1           
  1.69     2           
  0.61     1           
  1.42     1           
  0.78     1           
  0.17     1           
  1.24     1           
  3.04     1           
  0.79     1           
  0.18     1           
  1.24     1           
  0.95     1           
  1.2      1           
  1.33     1           
  1.19     1           
  1.35     1           
  0.82     1           
  2.5      1           
  0.66     1           
  2.56     1           
  0.79     1           
  2.28     1           
  0.85     1           
  2.07     2           
  5.57     1           
  0.93     1           
  2.03     1           
  0.87     1           
  2.86     1           
  1.2      1           
  2.08     1           
  3.67     1           
  1.65     2           
  0.92     1           
  0.96     1           
  2.12     1           
  1.16     1           
  0.96     1           
  0.54     1           
  1.52     1           
  0.92     1           
  2.36     1           
  1.48     1           
  0.89     1           
  1.63     1           
  1.16     1           
  0.22     1           
  0.71     1           
  0.32     2           
  1.54     2           
  0.58     1           
  2.09     1           
  3.86     1           
  0.96     1           
  0.63     1           
  1.75     1           
  0.97     1           
  0.86     1           
  0.34     1           
  2.22     1           
  0.47     1           
  3.1      1           
  1.24     1           
  2.35     1           
  0.76     2           
  0.56     1           
  0.97     1           
  0.65     1           
  0.47     1           
  2.16     2           
  0.48     1           
  2.29     1           
  0.53     1           
  1.62     1           
  2.43     2           
  3.24     1           
  2.33     1           
  0.95     1           
  0.38     1           
  2.06     1           
  1.28     1           
  0.78     1           
  1.33     2           
  -99.0    -99         
  0.55     1           
  1.21     1           
  2.03     1           
  0.79     1           
  0.71     1           
  0.96     1           
  3.64     1           
  1.52     1           
  0.17     1           
  0.4      1           
  0.92     1           
  0.6      1           
  0.17     2           
  1.72     1           
  0.98     1           
  2.27     1           
  0.51     2           
  1.16     2           
  1.56     1           
  3.29     2           
  1.19     1           
  0.47     1           
  0.95     1           
  0.95     1           
  0.88     2           
  1.09     1           
  5.11     2           
  3.05     1           
  0.44     2           
  0.59     1           
  2.05     1           
  1.74     2           
  0.79     1           
  0.95     1           
  1.67     1           
  1.93     1           
  1.9      1           
  1.62     1           
  1.2      2           
  0.61     2           
  0.88     1           
  1.8      2           
  -99.0    -99         
  1.06     1           
  0.97     1           
  2.31     1           
  1.12     2           
  0.47     1           
  1.72     1           
  0.97     1           
  2.67     1           
  0.66     1           
  0.31     1           
  2.45     1           
  0.73     1           
  0.75     1           
  2.24     1           
  0.39     1           
  0.92     2           
  2.14     1           
  1.58     1           
  1.04     1           
  0.95     1           
  0.98     1           
  0.72     1           
  0.42     2           
  0.59     1           
  -99.0    -99         
  0.53     2           
  2.95     1           
  0.23     1           
  1.18     2           
  0.84     2           
  0.84     1           
  0.75     1           
  0.68     1           
  2.35     1           
  -99.0    -99         
  0.82     1           
  2.21     1           
  2.39     1           
  0.99     1           
  0.69     1           
  0.34     2           
  2.09     1           
  0.78     1           
  5.32     1           
  1.6      1           
  0.5      1           
  0.42     1           
  2.47     2           
  2.34     1           
  0.2      1           
  2.32     1           
  1.59     2           
  0.49     2           
  2.22     1           
  0.72     1           
  0.96     2           
  0.47     2           
  1.42     2           
  0.83     1           
  3.07     1           
  0.41     1           
  1.15     1           
  0.64     1           
  2.47     2           
  0.93     1           
  1.73     1           
  0.7      1           
  0.83     1           
  0.44     1           
  0.89     1           
  0.82     1           
  0.72     1           
  0.98     1           
  0.92     1           
  1.52     2           
  3.12     1           
  0.49     1           
  2.46     1           
  1.75     1           
  1.04     2           
  0.31     1           
  0.58     1           
  1.19     2           
  2.22     1           
  2.32     1           
  1.41     1           
  2.42     2           
  2.24     1           
  1.23     1           
  0.68     1           
  1.52     1           
  1.13     1           
  1.51     1           
  1.95     1           
  2.17     1           
  1.24     1           
  2.17     1           
  0.22     1           
  0.81     1           
  0.35     2           
  1.99     1           
  1.64     1           
  1.78     1           
  1.79     1           
  0.49     2           
  4.11     1           
  1.44     1           
  3.14     1           
  1.5      1           
  0.8      1           
  0.85     2           
  1.01     2           
  2.97     1           
  1.18     1           
  0.61     1           
  1.17     1           
  1.39     1           
  0.96     1           
  2.75     1           
  1.53     1           
  1.12     1           
  2.15     1           
  0.89     1           
  0.78     1           
  1.22     2           
  1.68     2           
  1.2      2           
  2.07     1           
  0.48     1           
  0.77     1           
  1.62     1           
  0.77     1           
  0.48     1           
  1.69     1           
  1.49     1           
  0.78     1           
  2.64     2           
  0.96     1           
  0.38     2           
  1.17     1           
  3.42     2           
  -99.0    -99         
  0.25     2           
  2.06     1           
  1.01     1           
  0.48     1           
  1.14     2           
  0.34     2           
  0.91     1           
  0.96     1           
  0.44     2           
  1.18     2           
  0.78     1           
  2.54     1           
  1.66     1           
  0.99     2           
  1.13     2           
  1.26     2           
  1.29     2           
  0.93     1           
  1.54     1           
  1.81     1           
  0.92     1           
  0.38     2           
  0.47     1           
  1.01     1           
  1.29     1           
  2.12     1           
  1.18     1           
  1.54     2           
  0.88     2           
  0.1      1           
  3.46     1           
  3.14     1           
  0.94     1           
  1.63     1           
  1.13     1           
  0.41     1           
  1.75     1           
  2.1      1           
  0.8      1           
  1.03     1           
  -99.0    -99         
  2.58     1           
  0.82     1           
  1.08     1           
  0.44     2           
  -99.0    -99         
  0.67     1           
  0.84     1           
  0.79     2           
  0.94     2           
  0.94     1           
  1.16     1           
  2.78     1           
  1.11     2           
  1.63     1           
  2.16     1           
  2.15     1           
  0.99     1           
  1.1      1           
  3.3      1           
  3.02     1           
  0.86     2           
  1.75     2           
  0.92     1           
  2.96     1           
  2.22     1           
  1.61     1           
  2.15     1           
  0.49     1           
  3.85     1           
  1.11     1           
  1.0      1           
  4.31     1           
  3.13     1           
  0.88     2           
  2.07     1           
  0.38     2           
  0.44     1           
  -99.0    -99         
  1.12     1           
  1.0      1           
  1.08     1           
  0.71     1           
  1.13     1           
  2.33     1           
  1.36     2           
  2.03     1           
  2.67     1           
  2.01     1           
  1.0      1           
  1.21     1           
  -99.0    -99         
  1.17     1           
  0.52     1           
  1.89     1           
  0.89     1           
  1.87     1           
  2.41     1           
  1.83     1           
  2.01     1           
  1.77     2           
  0.54     1           
  1.93     1           
  2.14     1           
  0.48     1           
  0.75     1           
  1.61     1           
  0.46     1           
  0.82     1           
  3.17     1           
  2.18     1           
  0.84     1           
  1.4      1           
  2.36     1           
  0.84     1           
  0.93     1           
  0.97     1           
  0.72     1           
  1.59     2           
  1.46     2           
  0.48     1           
  0.82     1           
  1.51     2           
  2.28     1           
  1.16     1           
  2.17     1           
  0.8      1           
  0.78     1           
  2.28     2           
  0.99     1           
  0.46     1           
  0.12     1           
  1.01     1           
  0.65     1           
  0.84     1           
  1.81     1           
  0.96     1           
  0.54     2           
  0.87     1           
  1.07     1           
  0.95     1           
  2.31     1           
  1.02     1           
  1.52     1           
  0.97     1           
  1.47     1           
  0.97     1           
  0.49     1           
  0.72     1           
  0.76     1           
  0.94     1           
  2.19     1           
  1.02     1           
  0.97     1           
  1.97     1           
  1.16     1           
  1.17     1           
  0.68     1           
  0.94     1           
  1.17     1           
  1.72     2           
  0.49     1           
  1.81     1           
  1.16     1           
  3.48     1           
  1.06     1           
  1.23     1           
  0.81     1           
  1.97     1           
  0.48     1           
  0.8      1           
  1.58     1           
  0.67     1           
  0.97     2           
  1.54     1           
  0.47     1           
  0.64     1           
  0.17     1           
  0.51     1           
  0.75     1           
  1.88     1           
  1.8      1           
  0.15     1           
  0.83     2           
  0.81     1           
  0.6      1           
  3.1      1           
  1.91     1           
  0.89     1           
  3.22     1           
  1.68     1           
  2.14     1           
  1.02     1           
  0.99     1           
  0.79     1           
  1.25     2           
  0.55     1           
  1.99     1           
  0.73     1           
  0.82     1           
  1.48     1           
  1.36     1           
  2.14     2           
  0.64     1           
  0.47     1           
  1.17     2           
  4.17     1           
  0.82     1           
  1.09     2           
  1.87     1           
  -99.0    -99         
  1.89     2           
  0.8      1           
  1.6      1           
  0.9      1           
  0.32     2           
  2.12     1           
  0.77     1           
  0.57     1           
  0.51     1           
  3.56     2           
  0.91     1           
  0.93     1           
  1.35     1           
  0.46     2           
  1.11     2           
  1.53     2           
  0.6      2           
  1.45     1           
  0.79     2           
  -99.0    -99         
  0.84     1           
  0.49     1           
  1.72     1           
  2.0      2           
  1.65     1           
  1.99     2           
  2.11     1           
  1.53     1           
  1.01     2           
  1.3      2           
  2.38     1           
  0.93     2           
  1.2      1           
  0.47     2           
  0.84     1           
  3.39     2           
  0.83     1           
  1.81     1           
  2.05     1           
  1.65     1           
  1.23     2           
  1.5      1           
  1.54     2           
  1.76     1           
  1.38     2           
  1.21     1           
  1.11     2           
  1.8      1           
  4.08     1           
  1.35     1           
  0.21     1           
  2.1      1           
  2.09     2           
  1.32     1           
  1.42     2           
  1.88     2           
  1.06     2           
  1.06     2           
  1.58     1           
  1.33     2           
  1.84     1           
  1.1      1           
  3.4      2           
  2.39     2           
  1.45     2           
  1.46     2           
  1.19     1           
  0.98     1           
  0.66     1           
  0.31     1           
  0.36     1           
  1.59     1           
  2.33     2           
  0.44     2           
  -99.0    -99         
  1.15     1           
  0.43     2           
  -99.0    -99         
  2.64     2           
  1.82     1           
  0.07     1           
  2.05     1           
  1.41     1           
  -99.0    -99         
  1.98     1           
  1.76     1           
  0.93     1           
  1.0      2           
  0.81     1           
  1.12     2           
  0.87     1           
  1.78     1           
  0.8      1           
  1.14     2           
  2.76     2           
  0.08     1           
  0.9      2           
  0.77     1           
  1.89     1           
  2.14     2           
  1.16     1           
  1.2      1           
  1.36     1           
  1.37     1           
  2.09     1           
  1.04     1           
  0.56     1           
  2.07     2           
  1.19     2           
  2.13     1           
  0.85     1           
  0.48     1           
  2.91     1           
  2.49     1           
  1.35     1           
  1.16     1           
  0.3      1           
  0.5      2           
  0.77     2           
  0.59     1           
  1.62     2           
  2.64     1           
  1.59     1           
  0.63     2           
  4.8      1           
  2.32     1           
  0.68     2           
  2.76     1           
  1.0      1           
  2.04     2           
  0.97     1           
  0.76     2           
  1.74     1           
  0.95     1           
  0.85     1           
  0.43     1           
  0.13     1           
  2.13     2           
  1.58     2           
  1.01     2           
  0.71     1           
  1.59     2           
  1.82     1           
  1.94     1           
  0.88     1           
  0.96     1           
  1.71     1           
  0.96     1           
  0.75     2           
  1.35     1           
  1.82     2           
  2.01     1           
  0.86     1           
  0.98     1           
  2.15     2           
  2.05     1           
  2.29     1           
  2.01     1           
  0.97     1           
  0.63     2           
  4.09     2           
  1.62     1           
  1.52     2           
  2.46     1           
  2.39     1           
  2.54     1           
  1.95     1           
  -99.0    -99         
  0.76     1           
  1.55     2           
  1.95     1           
  2.15     2           
  1.59     1           
  1.24     1           
  0.5      1           
  1.13     1           
  1.29     2           
  0.58     2           
  0.99     1           
  1.31     1           
  2.23     1           
  0.96     1           
  -99.0    -99         
  1.0      1           
  3.19     1           
  1.15     1           
  1.31     1           
  1.22     1           
  1.32     1           
  1.07     2           
  4.99     1           
  -99.0    -99         
  1.2      2           
  2.04     2           
  2.71     2           
  3.12     2           
  1.49     2           
  1.22     2           
  0.41     2           
  0.82     2           
  1.75     2           
  1.75     2           
  -99.0    -99         
  1.22     2           
  1.24     2           
  1.84     2           
  1.17     2           
  0.14     2           
  0.95     2           
  1.37     2           
  -99.0    -99         
  0.48     2           
  3.1      2           
  2.97     2           
  0.46     2           
  0.59     2           
  0.51     2           
  1.94     2           
  1.75     2           
  0.49     2           
  1.78     2           
  1.54     2           
  -99.0    -99         
  1.66     2           
  2.23     2           
  1.37     2           
  0.59     2           
  2.77     2           
  1.22     2           
  0.93     2           
  1.92     2           
  1.5      2           
  2.33     2           
  2.26     2           
  1.55     2           
  0.97     2           
  2.1      2           
  0.34     2           
  0.52     2           
  2.2      2           
  0.94     2           
  3.19     2           
  0.87     2           
  1.18     2           
  1.35     2           
  0.72     2           
  1.52     2           
  0.49     2           
  2.45     2           
  2.04     2           
  1.12     2           
  0.55     2           
  0.57     2           
